"Roche's Point","RPT","51d48'N","8d15'W",6.36, N 51.48 W 8.15
"Valentia","VAL","51d56'N","10d15'W",5.48, N 51.56, W 10.00
"Roslare","ROS","52d16'56.791""N","6d21'25.056""W",6, N52.16 W6.21
"Kilkenny","KIL","52d40'N","7d16'W",3.25, N 52.40 W 7.16
"Shannon","SHA","52d42'N","8d55'W",5.38, N 52.42 W 8.55
"Birr","BIR","53d05'N","7d53'W",3.65, N 53.05 W 7.53
"Dublin","DUB","53d26'N","6d15'W",5.05, N53.26 W6.15
"Claremorris","CLA","53d43'N","8d59'W",4.32, N 53.43 W 8.59
"Mullingar","MUL","53d32'N","7d22'W",4.38, N 53.32 W 7.22 
"Clones","CLO","54d11'N","7d14'W",4.48, N 54.11 W 7.14
"Belmullet","BEL","54d14'N","10d00'W",6.75, N 54.14, W 10.15
"Malin Head","MAL","55d22'N","7d20'W",8.03, N 55.22 W 7.20



